Date : 2021-04-07 11:29:51
Directory : d:\ИГ\RSSchoolAngular\rslang\src\app
Total : 289 files,  9148 codes, 20 comments, 1558 blanks, all 10726 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| mini-games                                                                                                                                     |        103 |      4,095 |         15 |        666 |      4,776 |
| mini-games\audiochallenge                                                                                                                      |         28 |        832 |          1 |        124 |        957 |
| mini-games\audiochallenge\components                                                                                                           |         28 |        832 |          1 |        124 |        957 |
| mini-games\audiochallenge\components\audiochallenge-game                                                                                       |          4 |        123 |          0 |         17 |        140 |
| mini-games\audiochallenge\components\audiochallenge-main                                                                                       |          4 |        218 |          0 |         25 |        243 |
| mini-games\audiochallenge\components\decision-buttons                                                                                          |          4 |         83 |          0 |         15 |         98 |
| mini-games\audiochallenge\components\game-sounds-button                                                                                        |          4 |         65 |          0 |         14 |         79 |
| mini-games\audiochallenge\components\level-choise                                                                                              |          4 |         58 |          0 |         11 |         69 |
| mini-games\audiochallenge\components\translation-options                                                                                       |          4 |        155 |          0 |         24 |        179 |
| mini-games\audiochallenge\components\word-card                                                                                                 |          4 |        130 |          1 |         18 |        149 |
| mini-games\constants                                                                                                                           |          2 |          8 |          0 |          3 |         11 |
| mini-games\custom-mini-game                                                                                                                    |         16 |        948 |         12 |        157 |      1,117 |
| mini-games\custom-mini-game\close-dialog                                                                                                       |          4 |         62 |          0 |         13 |         75 |
| mini-games\custom-mini-game\services                                                                                                           |          4 |         88 |          1 |         21 |        110 |
| mini-games\custom-mini-game\start-dialog                                                                                                       |          4 |        155 |          0 |         26 |        181 |
| mini-games\pages                                                                                                                               |          4 |        111 |          0 |         21 |        132 |
| mini-games\pages\mini-games-page                                                                                                               |          4 |        111 |          0 |         21 |        132 |
| mini-games\savannah                                                                                                                            |         23 |        801 |          0 |        137 |        938 |
| mini-games\savannah\components                                                                                                                 |         16 |        401 |          0 |         76 |        477 |
| mini-games\savannah\components\lifes                                                                                                           |          4 |         70 |          0 |         17 |         87 |
| mini-games\savannah\components\main-actions                                                                                                    |          4 |         93 |          0 |         15 |        108 |
| mini-games\savannah\components\options-input                                                                                                   |          4 |        100 |          0 |         23 |        123 |
| mini-games\savannah\components\sliding-word                                                                                                    |          4 |        138 |          0 |         21 |        159 |
| mini-games\savannah\pages                                                                                                                      |          4 |        195 |          0 |         32 |        227 |
| mini-games\savannah\pages\savannah-mini-game                                                                                                   |          4 |        195 |          0 |         32 |        227 |
| mini-games\savannah\services                                                                                                                   |          2 |        168 |          0 |         22 |        190 |
| mini-games\savannah\utils                                                                                                                      |          1 |         37 |          0 |          7 |         44 |
| mini-games\shared                                                                                                                              |         19 |        616 |          0 |         98 |        714 |
| mini-games\shared\components                                                                                                                   |         19 |        616 |          0 |         98 |        714 |
| mini-games\shared\components\close-game-dialog                                                                                                 |          4 |         54 |          0 |         13 |         67 |
| mini-games\shared\components\counter                                                                                                           |          4 |        109 |          0 |         16 |        125 |
| mini-games\shared\components\end-game                                                                                                          |          4 |        195 |          0 |         31 |        226 |
| mini-games\shared\components\full-screen-button                                                                                                |          3 |         48 |          0 |         10 |         58 |
| mini-games\shared\components\start-game                                                                                                        |          4 |        210 |          0 |         28 |        238 |
| mini-games\sprint                                                                                                                              |          9 |        694 |          2 |        119 |        815 |
| mini-games\sprint\components                                                                                                                   |          4 |        204 |          0 |         40 |        244 |
| mini-games\sprint\components\sprint-game-card                                                                                                  |          4 |        204 |          0 |         40 |        244 |
| mini-games\sprint\utils                                                                                                                        |          1 |         67 |          0 |         11 |         78 |
| profile                                                                                                                                        |          5 |        223 |          0 |         36 |        259 |
| profile\pages                                                                                                                                  |          4 |        210 |          0 |         32 |        242 |
| profile\pages\profile-page                                                                                                                     |          4 |        210 |          0 |         32 |        242 |
| redux                                                                                                                                          |         26 |        702 |          1 |        126 |        829 |
| redux\actions                                                                                                                                  |          5 |         68 |          0 |         38 |        106 |
| redux\effects                                                                                                                                  |          5 |        272 |          0 |         26 |        298 |
| redux\models                                                                                                                                   |          7 |         85 |          0 |         13 |         98 |
| redux\reducers                                                                                                                                 |          5 |        205 |          1 |         20 |        226 |
| redux\selectors                                                                                                                                |          4 |         72 |          0 |         29 |        101 |
| services                                                                                                                                       |          2 |         60 |          0 |         13 |         73 |
| shared                                                                                                                                         |         14 |        261 |          0 |         56 |        317 |
| shared\components                                                                                                                              |          8 |        164 |          0 |         34 |        198 |
| shared\components\file-input                                                                                                                   |          4 |        120 |          0 |         24 |        144 |
| shared\components\progress                                                                                                                     |          4 |         44 |          0 |         10 |         54 |
| shared\guards                                                                                                                                  |          2 |         30 |          0 |          8 |         38 |
| shared\interceptors                                                                                                                            |          3 |         56 |          0 |         11 |         67 |
| statistics                                                                                                                                     |         20 |        658 |          1 |        123 |        782 |
| statistics\components                                                                                                                          |          8 |        326 |          0 |         53 |        379 |
| statistics\components\long-term-statistics                                                                                                     |          4 |        175 |          0 |         27 |        202 |
| statistics\components\long-term-statistics\long-term-statistics                                                                                |          4 |        175 |          0 |         27 |        202 |
| statistics\components\short-term-statistics                                                                                                    |          4 |        151 |          0 |         26 |        177 |
| statistics\components\short-term-statistics\short-term-statistics                                                                              |          4 |        151 |          0 |         26 |        177 |
| statistics\pages                                                                                                                               |          4 |        124 |          0 |         20 |        144 |
| statistics\pages\statistics-page                                                                                                               |          4 |        124 |          0 |         20 |        144 |
| statistics\services                                                                                                                            |          6 |        186 |          1 |         42 |        229 |
| statistics\services\fake-statistics                                                                                                            |          2 |         46 |          0 |         13 |         59 |
| statistics\services\long-term-statistics                                                                                                       |          2 |         84 |          0 |         14 |         98 |
| statistics\services\short-term-statistics                                                                                                      |          2 |         56 |          1 |         15 |         72 |
| textbook                                                                                                                                       |         34 |        790 |          0 |        134 |        924 |
| textbook\components                                                                                                                            |         32 |        734 |          0 |        127 |        861 |
| textbook\components\dictionary-content                                                                                                         |          4 |         37 |          0 |         11 |         48 |
| textbook\components\textbook-content                                                                                                           |          5 |        193 |          0 |         25 |        218 |
| textbook\components\textbook-content-page                                                                                                      |          4 |         29 |          0 |         10 |         39 |
| textbook\components\textbook-menu                                                                                                              |          5 |        130 |          0 |         25 |        155 |
| textbook\components\textbook-mini-games                                                                                                        |          5 |        107 |          0 |         17 |        124 |
| textbook\components\textbook-page                                                                                                              |          4 |         40 |          0 |         10 |         50 |
| textbook\components\word-card                                                                                                                  |          4 |        194 |          0 |         28 |        222 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\ИГ\RSSchoolAngular\rslang\src\app\app-routing.module.ts                                                                                     | TypeScript |         25 |          0 |          4 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\app.component.html                                                                                        | HTML       |          5 |          0 |          1 |          6 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\app.component.scss                                                                                        | SCSS       |         10 |          0 |          2 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\app.component.spec.ts                                                                                     | TypeScript |         24 |          0 |          3 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\app.component.ts                                                                                          | TypeScript |         21 |          0 |          4 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\app.module.ts                                                                                             | TypeScript |         41 |          0 |          3 |         44 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\auth.module.ts                                                                                       | TypeScript |         18 |          0 |          4 |         22 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\const\patterns.ts                                                                                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\models\signin-payload.model.ts                                                                       | TypeScript |         13 |          0 |          2 |         15 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\login\login.component.html                                                                     | HTML       |         57 |          0 |          5 |         62 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\login\login.component.scss                                                                     | SCSS       |         45 |          0 |         11 |         56 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\login\login.component.spec.ts                                                                  | TypeScript |         82 |          0 |         12 |         94 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\login\login.component.ts                                                                       | TypeScript |         64 |          0 |          8 |         72 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\signup\const.ts                                                                                | TypeScript |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\signup\signup.component.html                                                                   | HTML       |         94 |          0 |          8 |        102 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\signup\signup.component.scss                                                                   | SCSS       |         45 |          0 |         11 |         56 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\signup\signup.component.spec.ts                                                                | TypeScript |         90 |          0 |         13 |        103 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\pages\signup\signup.component.ts                                                                     | TypeScript |        101 |          0 |         13 |        114 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\services\auth.service.spec.ts                                                                        | TypeScript |         21 |          0 |          5 |         26 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\services\auth.service.ts                                                                             | TypeScript |         51 |          0 |          8 |         59 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\auth\services\errors-parser.service.ts                                                                    | TypeScript |         23 |          0 |          6 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\footer\footer.component.html                                                              | HTML       |         19 |          0 |          1 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\footer\footer.component.scss                                                              | SCSS       |         61 |          0 |          9 |         70 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\footer\footer.component.spec.ts                                                           | TypeScript |         24 |          0 |          5 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\footer\footer.component.ts                                                                | TypeScript |         21 |          0 |          4 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\header\const.ts                                                                           | TypeScript |         23 |          0 |          2 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\header\header.component.html                                                              | HTML       |         27 |          0 |          2 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\header\header.component.scss                                                              | SCSS       |        108 |          0 |         19 |        127 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\header\header.component.spec.ts                                                           | TypeScript |         26 |          0 |          5 |         31 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\header\header.component.ts                                                                | TypeScript |         35 |          0 |          7 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\logo\logo.component.html                                                                  | HTML       |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\logo\logo.component.scss                                                                  | SCSS       |          6 |          0 |          2 |          8 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\logo\logo.component.spec.ts                                                               | TypeScript |         19 |          0 |          6 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\logo\logo.component.ts                                                                    | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\not-found\not-found.component.html                                                        | HTML       |          3 |          0 |          1 |          4 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\not-found\not-found.component.scss                                                        | SCSS       |         41 |          0 |          5 |         46 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\not-found\not-found.component.spec.ts                                                     | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\components\not-found\not-found.component.ts                                                          | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\RSSLinks.ts                                                                                | TypeScript |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\common.ts                                                                                  | TypeScript |          1 |          0 |          1 |          2 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\headerLinks.ts                                                                             | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\index.ts                                                                                   | TypeScript |          3 |          0 |          1 |          4 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\mini-games.ts                                                                              | TypeScript |         40 |          0 |          4 |         44 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\sprint-game.ts                                                                             | TypeScript |         17 |          0 |          4 |         21 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\statistics.ts                                                                              | TypeScript |         21 |          0 |          4 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\constants\storage.ts                                                                                 | TypeScript |          2 |          0 |          1 |          3 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\core.module.ts                                                                                       | TypeScript |         14 |          0 |          3 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\IAnswer.ts                                                                                    | TypeScript |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\IHeaderMenu.ts                                                                                | TypeScript |          5 |          0 |          1 |          6 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\ILongTermStats.ts                                                                             | TypeScript |         13 |          0 |          2 |         15 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\ISavannahGame.ts                                                                              | TypeScript |         30 |          0 |          3 |         33 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\IShortTermStats.ts                                                                            | TypeScript |         14 |          0 |          3 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\ISprintGame.ts                                                                                | TypeScript |         48 |          0 |          7 |         55 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\ITextbookContentTabs.ts                                                                       | TypeScript |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\ITextbookMiniGames.ts                                                                         | TypeScript |          4 |          0 |          1 |          5 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\ITrainedWord.ts                                                                               | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\IWord.ts                                                                                      | TypeScript |         17 |          0 |          1 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\user.model.ts                                                                                 | TypeScript |         11 |          0 |          2 |         13 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\models\word.model.ts                                                                                 | TypeScript |         34 |          0 |          6 |         40 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\services\api.service.ts                                                                              | TypeScript |          9 |          0 |          3 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\services\statistics.service.ts                                                                       | TypeScript |         20 |          0 |          7 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\services\storage.service.ts                                                                          | TypeScript |         38 |          0 |          6 |         44 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\services\user.service.spec.ts                                                                        | TypeScript |         15 |          0 |          5 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\services\user.service.ts                                                                             | TypeScript |         35 |          0 |          8 |         43 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\core\services\words.service.ts                                                                            | TypeScript |         58 |          0 |         15 |         73 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\about-team\about-team.component.html                                                      | HTML       |          8 |          0 |          1 |          9 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\about-team\about-team.component.scss                                                      | SCSS       |         33 |          0 |          6 |         39 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\about-team\about-team.component.spec.ts                                                   | TypeScript |         21 |          3 |          6 |         30 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\about-team\about-team.component.ts                                                        | TypeScript |         18 |          0 |          5 |         23 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\demo\demo.component.html                                                                  | HTML       |         14 |          0 |          1 |         15 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\demo\demo.component.scss                                                                  | SCSS       |         12 |          0 |          3 |         15 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\demo\demo.component.spec.ts                                                               | TypeScript |         19 |          0 |          6 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\demo\demo.component.ts                                                                    | TypeScript |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\teammate-card\teammate-card.component.html                                                | HTML       |         26 |          0 |          1 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\teammate-card\teammate-card.component.scss                                                | SCSS       |         50 |          0 |         14 |         64 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\teammate-card\teammate-card.component.spec.ts                                             | TypeScript |         36 |          0 |          6 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\components\teammate-card\teammate-card.component.ts                                                  | TypeScript |         15 |          0 |          4 |         19 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\main.module.ts                                                                                       | TypeScript |         15 |          0 |          3 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\pages\home-page\home-page.component.html                                                             | HTML       |         41 |          0 |          1 |         42 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\pages\home-page\home-page.component.scss                                                             | SCSS       |         90 |          0 |         19 |        109 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\pages\home-page\home-page.component.spec.ts                                                          | TypeScript |         28 |          0 |          6 |         34 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\pages\home-page\home-page.component.ts                                                               | TypeScript |         19 |          0 |          5 |         24 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\services\team.service.spec.ts                                                                        | TypeScript |         59 |          0 |         10 |         69 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\main\services\team.service.ts                                                                             | TypeScript |         13 |          0 |          4 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\material\material.module.ts                                                                               | TypeScript |         69 |          0 |          2 |         71 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-game\audiochallenge-game.component.html               | HTML       |         18 |          0 |          2 |         20 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-game\audiochallenge-game.component.scss               | SCSS       |         17 |          0 |          1 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-game\audiochallenge-game.component.spec.ts            | TypeScript |         26 |          0 |          6 |         32 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-game\audiochallenge-game.component.ts                 | TypeScript |         62 |          0 |          8 |         70 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-main\audiochallenge-main.component.html               | HTML       |         33 |          0 |          5 |         38 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-main\audiochallenge-main.component.scss               | SCSS       |         87 |          0 |          6 |         93 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-main\audiochallenge-main.component.spec.ts            | TypeScript |         30 |          0 |          6 |         36 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\audiochallenge-main\audiochallenge-main.component.ts                 | TypeScript |         68 |          0 |          8 |         76 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\decision-buttons\decision-buttons.component.html                     | HTML       |          9 |          0 |          2 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\decision-buttons\decision-buttons.component.scss                     | SCSS       |         27 |          0 |          2 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\decision-buttons\decision-buttons.component.spec.ts                  | TypeScript |         19 |          0 |          6 |         25 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\decision-buttons\decision-buttons.component.ts                       | TypeScript |         28 |          0 |          5 |         33 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\game-sounds-button\game-sounds-button.component.html                 | HTML       |         10 |          0 |          1 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\game-sounds-button\game-sounds-button.component.scss                 | SCSS       |          6 |          0 |          1 |          7 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\game-sounds-button\game-sounds-button.component.spec.ts              | TypeScript |         25 |          0 |          6 |         31 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\game-sounds-button\game-sounds-button.component.ts                   | TypeScript |         24 |          0 |          6 |         30 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\level-choise\level-choise.component.html                             | HTML       |         17 |          0 |          1 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\level-choise\level-choise.component.scss                             | SCSS       |          5 |          0 |          1 |          6 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\level-choise\level-choise.component.spec.ts                          | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\level-choise\level-choise.component.ts                               | TypeScript |         15 |          0 |          3 |         18 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\translation-options\translation-options.component.html               | HTML       |         11 |          0 |          1 |         12 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\translation-options\translation-options.component.scss               | SCSS       |         47 |          0 |          8 |         55 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\translation-options\translation-options.component.spec.ts            | TypeScript |         21 |          0 |          6 |         27 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\translation-options\translation-options.component.ts                 | TypeScript |         76 |          0 |          9 |         85 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\word-card\word-card.component.html                                   | HTML       |         16 |          1 |          2 |         19 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\word-card\word-card.component.scss                                   | SCSS       |         40 |          0 |          6 |         46 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\word-card\word-card.component.spec.ts                                | TypeScript |         38 |          0 |          5 |         43 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\audiochallenge\components\word-card\word-card.component.ts                                     | TypeScript |         36 |          0 |          5 |         41 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\constants\audiochallenge-game.ts                                                               | TypeScript |          2 |          0 |          2 |          4 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\constants\savannah.game.ts                                                                     | TypeScript |          6 |          0 |          1 |          7 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.html                                      | HTML       |         10 |          0 |          1 |         11 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.scss                                      | SCSS       |          7 |          0 |          2 |          9 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.spec.ts                                   | TypeScript |         23 |          0 |          6 |         29 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\close-dialog\close-dialog.component.ts                                        | TypeScript |         22 |          0 |          4 |         26 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.html                                               | HTML       |         83 |          0 |         11 |         94 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.scss                                               | SCSS       |        251 |          2 |         44 |        297 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.spec.ts                                            | TypeScript |         26 |          0 |          6 |         32 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\custom-mini-game.component.ts                                                 | TypeScript |        283 |          9 |         36 |        328 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\shuffle.service.spec.ts                                              | TypeScript |         12 |          0 |          5 |         17 |
| d:\ИГ\RSSchoolAngular\rslang\src\app\mini-games\custom-mini-game\services\shuffle.service.ts                                                   | TypeScript |         23 |          1 |          5 |         29 |
